suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,0,4000,True,129
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,1,4001,True,131
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,2,4002,True,121
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,3,4003,True,161
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4,4004,True,132
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,5,4005,True,128
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,6,4006,True,123
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,7,4007,True,121
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,8,4008,True,123
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,9,4009,True,122
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,10,4010,True,124
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,11,4011,True,121
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,12,4012,True,135
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,13,4013,True,125
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,14,4014,True,135
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,15,4015,True,125
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,16,4016,True,130
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,17,4017,True,125
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,18,4018,True,127
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,19,4019,True,121
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,20,4020,True,119
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,21,4021,True,129
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,22,4022,True,132
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,23,4023,True,123
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,24,4024,True,128
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,25,4025,True,126
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,26,4026,True,123
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,27,4027,True,135
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,28,4028,False,280
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,29,4029,True,126
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,30,4030,True,124
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,31,4031,False,280
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,32,4032,False,280
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,33,4033,True,126
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,34,4034,True,125
spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,4000,original,0,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,35,4035,True,115
