suite,task_id,task_description,variant_type,prompt
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,original,pick up the black bowl between the plate and the ramekin and place it on the plate
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,politeness,please pick up the black bowl between the plate and the ramekin and place it on the plate
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,verb_paraphrase,grab the black bowl between the plate and the ramekin and place it on the plate
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,sentence_structure,"the black bowl between the plate and the ramekin, pick it up and place it on the plate"
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,verbosity,in this task you have to pick up the black bowl between the plate and the ramekin and place it on the plate for me
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,carefully,pick up the black bowl between the plate and the ramekin and place it on the plate carefully
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,quickly,pick up the black bowl between the plate and the ramekin and place it on the plate quickly
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,do_not_move,do not move the black bowl between the plate and the ramekin and place it on the plate
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,original,pick up the black bowl next to the ramekin and place it on the plate
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,politeness,please pick up the black bowl next to the ramekin and place it on the plate
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,verb_paraphrase,grab the black bowl next to the ramekin and place it on the plate
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,sentence_structure,"the black bowl next to the ramekin, pick it up and place it on the plate"
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,verbosity,in this task you have to pick up the black bowl next to the ramekin and place it on the plate for me
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,carefully,pick up the black bowl next to the ramekin and place it on the plate carefully
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,quickly,pick up the black bowl next to the ramekin and place it on the plate quickly
spatial,1,pick up the black bowl next to the ramekin and place it on the plate,do_not_move,do not move the black bowl next to the ramekin and place it on the plate
