suite,task_id,task_description,noise_type,severity,rollout_index,episode_seed,success,episode_length
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,0,0,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,1,1,True,80
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,2,2,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,4,4,True,85
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,5,5,True,70
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,6,6,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,7,7,True,105
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,8,8,True,73
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,9,9,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,10,10,True,165
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,11,11,True,86
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,12,12,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,13,13,True,70
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,14,14,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,15,15,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,16,16,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,17,17,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,18,18,True,115
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,19,19,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,20,20,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,21,21,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,22,22,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,23,23,True,65
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,24,24,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,25,25,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,26,26,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,27,27,True,86
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,28,28,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,29,29,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,30,30,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,31,31,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,32,32,True,73
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,33,33,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,34,34,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,35,35,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,36,36,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,37,37,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,38,38,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,39,39,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,40,40,True,65
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,41,41,True,63
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,42,42,True,82
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,43,43,True,73
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,44,44,True,94
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,45,45,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,46,46,True,91
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,47,47,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,48,48,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,49,49,True,128
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,0,0,True,84
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,2,2,True,231
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,3,3,True,82
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,4,4,True,89
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,5,5,True,92
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,6,6,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,7,7,True,83
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,8,8,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,9,9,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,10,10,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,11,11,True,95
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,12,12,True,91
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,13,13,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,14,14,True,88
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,15,15,True,81
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,16,16,True,200
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,17,17,True,83
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,18,18,True,100
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,19,19,True,86
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,20,20,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,21,21,True,88
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,22,22,True,94
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,23,23,True,90
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,24,24,True,81
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,25,25,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,26,26,True,96
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,27,27,True,126
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,28,28,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,29,29,True,98
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,30,30,True,263
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,31,31,True,93
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,32,32,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,33,33,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,1,34,34,False,280
