suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,0,204000,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,1,204001,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,2,204002,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,3,204003,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,4,204004,True,90
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,5,204005,True,90
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,6,204006,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,7,204007,True,89
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,8,204008,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,9,204009,True,96
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,10,204010,True,90
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,11,204011,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,12,204012,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,13,204013,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,14,204014,True,88
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,15,204015,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,16,204016,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,17,204017,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,18,204018,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,19,204019,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,20,204020,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,21,204021,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,22,204022,True,85
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,23,204023,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,24,204024,True,96
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,25,204025,True,87
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,26,204026,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,27,204027,True,77
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,28,204028,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,29,204029,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,30,204030,True,80
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,31,204031,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,32,204032,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,33,204033,True,89
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,34,204034,True,92
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,35,204035,True,95
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,36,204036,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,37,204037,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,38,204038,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,39,204039,True,77
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,40,204040,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,41,204041,True,70
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,42,204042,True,82
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,43,204043,False,280
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,44,204044,True,96
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,45,204045,True,76
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,46,204046,True,81
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,47,204047,True,95
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,48,204048,True,85
goal,4,put the bowl on top of the cabinet,204000,original,0,put the bowl on top of the cabinet,49,204049,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,0,204000,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,1,204001,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,2,204002,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,3,204003,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,4,204004,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,5,204005,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,6,204006,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,7,204007,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,8,204008,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,9,204009,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,10,204010,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,11,204011,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,12,204012,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,13,204013,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,14,204014,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,15,204015,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,16,204016,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,17,204017,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,18,204018,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,19,204019,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,20,204020,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,21,204021,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,22,204022,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,23,204023,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,24,204024,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,25,204025,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,26,204026,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,27,204027,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,28,204028,False,280
goal,4,put the bowl on top of the cabinet,204000,politeness,0,please put the bowl on top of the cabinet,29,204029,False,280
