suite,task_id,task_description,noise_type,severity,rollout_index,episode_seed,success,episode_length
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,0,0,True,84
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,1,1,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,2,2,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,4,4,True,88
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,5,5,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,6,6,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,7,7,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,8,8,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,9,9,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,10,10,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,11,11,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,12,12,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,13,13,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,14,14,True,232
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,15,15,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,16,16,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,17,17,True,68
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,18,18,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,19,19,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,20,20,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,21,21,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,22,22,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,23,23,True,73
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,24,24,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,25,25,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,26,26,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,27,27,True,80
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,28,28,False,280
